location,iso_code,continent,date,total_cases,total_deaths,new_cases,new_deaths,new_cases_smoothed,new_deaths_smoothed,new_cases_per_million,total_cases_per_million,new_cases_smoothed_per_million,new_deaths_per_million,total_deaths_per_million,new_deaths_smoothed_per_million
Benin,BEN,Africa,12/5/2022,3,0,0,0,0,0,0,0.225,0,0,0,0
Cameroon,CMR,Africa,12/5/2022,16,2,0,0,0,0,0,0.573,0,0,0.072,0
Central African Republic,CAF,Africa,12/5/2022,12,0,0,0,0,0,0,2.151,0,0,0,0
Congo,COG,Africa,12/5/2022,5,0,0,0,0,0,0,0.837,0,0,0,0
Democratic Republic of Congo,COD,Africa,12/5/2022,206,0,0,0,0,0,0,2.081,0,0,0,0
Ghana,GHA,Africa,12/5/2022,107,4,0,0,0,0,0,3.196,0,0,0.119,0
Liberia,LBR,,12/5/2022,3,0,0,0,0,0,0,0.566,0,0,0,0
Mozambique,MOZ,,12/5/2022,1,1,0,0,0,0,0,0.03,0,0,0.03,0
Nigeria,NGA,,12/5/2022,624,7,0,0,0,0,0,2.855,0,0,0.032,0
South Africa,ZAF,,12/5/2022,5,0,0,0,0,0,0,0.083,0,0,0,0
World,OWID_WRL,,12/5/2022,82088,64,0,0,135.57,1.14,0,10.293,0.017,0,0.008,0
Benin,BEN,Africa,12/4/2022,3,0,0,0,0,0,0,0.225,0,0,0,0
Cameroon,CMR,Africa,12/4/2022,16,2,0,0,0,0,0,0.573,0,0,0.072,0
Central African Republic,CAF,Africa,12/4/2022,12,0,0,0,0,0,0,2.151,0,0,0,0
Congo,COG,Africa,12/4/2022,5,0,0,0,0,0,0,0.837,0,0,0,0
Democratic Republic of Congo,COD,Africa,12/4/2022,206,0,0,0,0,0,0,2.081,0,0,0,0
Ghana,GHA,Africa,12/4/2022,107,4,0,0,0,0,0,3.196,0,0,0.119,0
Liberia,LBR,,12/4/2022,3,0,0,0,0,0,0,0.566,0,0,0,0
Mozambique,MOZ,,12/4/2022,1,1,0,0,0,0,0,0.03,0,0,0.03,0
Nigeria,NGA,,12/4/2022,624,7,0,0,0,0,0,2.855,0,0,0.032,0
South Africa,ZAF,,12/4/2022,5,0,0,0,0,0,0,0.083,0,0,0,0
Sri Lanka,LKA,,12/4/2022,2,0,0,0,0,0,0,0.092,0,0,0,0
World,OWID_WRL,,12/4/2022,82088,64,0,0,135.57,1.14,0,10.293,0.017,0,0.008,0
Argentina,ARG,South America,12/3/2022,944,1,0,0,7.14,0.14,0,20.743,0.157,0,0.022,0.003
Aruba,ABW,North America,12/3/2022,3,0,0,0,0,0,0,28.18,0,0,0,0
Bahamas,BHS,North America,12/3/2022,2,0,0,0,0,0,0,4.878,0,0,0,0
Barbados,BRB,North America,12/3/2022,1,0,0,0,0,0,0,3.551,0,0,0,0
Benin,BEN,Africa,12/3/2022,3,0,0,0,0,0,0,0.225,0,0,0,0
Bermuda,BMU,North America,12/3/2022,1,0,0,0,0,0,0,15.575,0,0,0,0
Bolivia,BOL,South America,12/3/2022,259,0,1,0,1,0,0.082,21.188,0.082,0,0,0
Brazil,BRA,South America,12/3/2022,10087,14,43,0,21.71,0.14,0.2,46.848,0.101,0,0.065,0.001
Cameroon,CMR,Africa,12/3/2022,16,2,0,0,0,0,0,0.573,0,0,0.072,0
Canada,CAN,North America,12/3/2022,1456,0,0,0,1,0,0,37.863,0.026,0,0,0
Central African Republic,CAF,Africa,12/3/2022,12,0,0,0,0,0,0,2.151,0,0,0,0
Chile,CHL,South America,12/3/2022,1312,2,1,0,4.86,0.14,0.051,66.926,0.248,0,0.102,0.007
Colombia,COL,South America,12/3/2022,3861,0,9,0,8.29,0,0.173,74.43,0.16,0,0,0
Congo,COG,Africa,12/3/2022,5,0,0,0,0,0,0,0.837,0,0,0,0
Costa Rica,CRI,North America,12/3/2022,24,0,0,0,0,0,0,4.632,0,0,0,0
Cuba,CUB,North America,12/3/2022,8,1,0,0,0,0,0,0.714,0,0,0.089,0
Curacao,CUW,North America,12/3/2022,3,0,0,0,0,0,0,15.693,0,0,0,0
Democratic Republic of Congo,COD,Africa,12/3/2022,206,0,0,0,0,0,0,2.081,0,0,0,0
Dominican Republic,DOM,North America,12/3/2022,52,0,0,0,0,0,0,4.631,0,0,0,0
Ecuador,ECU,South America,12/3/2022,346,2,0,0,0,0,0,19.221,0,0,0.111,0
El Salvador,SLV,North America,12/3/2022,21,0,0,0,0,0,0,3.314,0,0,0,0
Ghana,GHA,Africa,12/3/2022,107,4,0,0,0,0,0,3.196,0,0,0.119,0
Guadeloupe,GLP,Europe,12/3/2022,1,0,0,0,0,0,0,2.527,0,0,0,0
Guatemala,GTM,North America,12/3/2022,192,0,0,0,2.86,0,0,10.76,0.16,0,0,0
Guyana,GUY,South America,12/3/2022,2,0,0,0,0,0,0,2.473,0,0,0,0
Honduras,HND,North America,12/3/2022,11,0,0,0,0,0,0,1.054,0,0,0,0
Indonesia,IDN,Asia,12/3/2022,1,0,0,0,0,0,0,0.004,0,0,0,0
Jamaica,JAM,North America,12/3/2022,18,0,0,0,0,0,0,6.366,0,0,0,0
Liberia,LBR,,12/3/2022,3,0,0,0,0,0,0,0.566,0,0,0,0
Martinique,MTQ,,12/3/2022,1,0,0,0,0,0,0,2.721,0,0,0,0
Mexico,MEX,,12/3/2022,3362,4,0,0,10,0,0,26.368,0.078,0,0.031,0
Mozambique,MOZ,,12/3/2022,1,1,0,0,0,0,0,0.03,0,0,0.03,0
Nigeria,NGA,,12/3/2022,624,7,0,0,0,0,0,2.855,0,0,0.032,0
Panama,PAN,,12/3/2022,56,0,0,0,1.14,0,0,12.702,0.259,0,0,0
Paraguay,PRY,,12/3/2022,26,0,2,0,1.29,0,0.295,3.834,0.19,0,0,0
Peru,PER,,12/3/2022,3508,0,0,0,9.14,0,0,103.026,0.268,0,0,0
Puerto Rico,PRI,,12/3/2022,205,0,0,0,0,0,0,63.03,0,0,0,0
Saint Martin (French part),MAF,,12/3/2022,1,0,0,0,0,0,0,31.431,0,0,0,0
South Africa,ZAF,,12/3/2022,5,0,0,0,0,0,0,0.083,0,0,0,0
Sri Lanka,LKA,,12/3/2022,2,0,0,0,0,0,0,0.092,0,0,0,0
United States,USA,,12/3/2022,29432,19,263,4,61.57,0.71,0.777,87.002,0.182,0.012,0.056,0.002
Uruguay,URY,,12/3/2022,14,0,0,0,0,0,0,4.09,0,0,0,0
Venezuela,VEN,,12/3/2022,10,0,0,0,0,0,0,0.353,0,0,0,0
World,OWID_WRL,,12/3/2022,82088,64,319,4,135.57,1.14,0.04,10.293,0.017,0.001,0.008,0
Andorra,AND,Europe,12/2/2022,4,0,0,0,0,0,0,50.098,0,0,0,0
Argentina,ARG,South America,12/2/2022,944,1,0,0,7.14,0.14,0,20.743,0.157,0,0.022,0.003
Aruba,ABW,North America,12/2/2022,3,0,0,0,0,0,0,28.18,0,0,0,0
Austria,AUT,Europe,12/2/2022,327,0,1,0,0.14,0,0.112,36.579,0.016,0,0,0
Bahamas,BHS,North America,12/2/2022,2,0,0,0,0,0,0,4.878,0,0,0,0
Barbados,BRB,North America,12/2/2022,1,0,0,0,0,0,0,3.551,0,0,0,0
Belgium,BEL,Europe,12/2/2022,789,1,0,0,0,0,0,67.691,0,0,0.086,0
Benin,BEN,Africa,12/2/2022,3,0,0,0,0,0,0,0.225,0,0,0,0
Bermuda,BMU,North America,12/2/2022,1,0,0,0,0,0,0,15.575,0,0,0,0
Bolivia,BOL,South America,12/2/2022,258,0,0,0,0.86,0,0,21.106,0.07,0,0,0
Bosnia and Herzegovina,BIH,Europe,12/2/2022,9,0,0,0,0,0,0,2.783,0,0,0,0
Brazil,BRA,South America,12/2/2022,10044,14,29,1,15.57,0.14,0.135,46.648,0.072,0.005,0.065,0.001
Bulgaria,BGR,Europe,12/2/2022,6,0,0,0,0,0,0,0.885,0,0,0,0
Cameroon,CMR,Africa,12/2/2022,16,2,0,0,0,0,0,0.573,0,0,0.072,0
Canada,CAN,North America,12/2/2022,1456,0,0,0,1,0,0,37.863,0.026,0,0,0
Central African Republic,CAF,Africa,12/2/2022,12,0,0,0,0,0,0,2.151,0,0,0,0
Chile,CHL,South America,12/2/2022,1311,2,0,0,4.71,0.14,0,66.875,0.24,0,0.102,0.007
Colombia,COL,South America,12/2/2022,3852,0,0,0,7,0,0,74.257,0.135,0,0,0
Congo,COG,Africa,12/2/2022,5,0,0,0,0,0,0,0.837,0,0,0,0
Costa Rica,CRI,North America,12/2/2022,24,0,0,0,0,0,0,4.632,0,0,0,0
Croatia,HRV,Europe,12/2/2022,29,0,0,0,0,0,0,7.195,0,0,0,0
Cuba,CUB,North America,12/2/2022,8,1,0,0,0,0,0,0.714,0,0,0.089,0
Curacao,CUW,North America,12/2/2022,3,0,0,0,0,0,0,15.693,0,0,0,0
Cyprus,CYP,Europe,12/2/2022,5,0,0,0,0,0,0,5.58,0,0,0,0
Czechia,CZE,Europe,12/2/2022,71,1,1,0,0.14,0,0.095,6.766,0.013,0,0.095,0
Democratic Republic of Congo,COD,Africa,12/2/2022,206,0,0,0,0,0,0,2.081,0,0,0,0
Denmark,DNK,Europe,12/2/2022,191,0,0,0,0,0,0,32.471,0,0,0,0
Dominican Republic,DOM,North America,12/2/2022,52,0,0,0,0,0,0,4.631,0,0,0,0
Ecuador,ECU,South America,12/2/2022,346,2,0,0,0,0,0,19.221,0,0,0.111,0
El Salvador,SLV,North America,12/2/2022,21,0,0,0,0,0,0,3.314,0,0,0,0
Estonia,EST,Europe,12/2/2022,11,0,0,0,0,0,0,8.295,0,0,0,0
Finland,FIN,Europe,12/2/2022,42,0,0,0,0,0,0,7.58,0,0,0,0
France,FRA,Europe,12/2/2022,4110,0,3,0,0.43,0,0.044,60.608,0.006,0,0,0
Georgia,GEO,Asia,12/2/2022,2,0,0,0,0,0,0,0.534,0,0,0,0
Germany,DEU,Europe,12/2/2022,3671,0,0,0,0,0,0,44.033,0,0,0,0
Ghana,GHA,Africa,12/2/2022,107,4,0,0,0,0,0,3.196,0,0,0.119,0
Gibraltar,GIB,Europe,12/2/2022,6,0,0,0,0,0,0,183.615,0,0,0,0
Greece,GRC,Europe,12/2/2022,85,0,0,0,0,0,0,8.185,0,0,0,0
Greenland,GRL,North America,12/2/2022,2,0,0,0,0,0,0,35.402,0,0,0,0
Guadeloupe,GLP,Europe,12/2/2022,1,0,0,0,0,0,0,2.527,0,0,0,0
Guatemala,GTM,North America,12/2/2022,192,0,0,0,2.86,0,0,10.76,0.16,0,0,0
Guyana,GUY,South America,12/2/2022,2,0,0,0,0,0,0,2.473,0,0,0,0
Honduras,HND,North America,12/2/2022,11,0,0,0,0,0,0,1.054,0,0,0,0
Hungary,HUN,Europe,12/2/2022,80,0,0,0,0,0,0,8.026,0,0,0,0
Iceland,ISL,Europe,12/2/2022,16,0,0,0,0,0,0,42.907,0,0,0,0
Indonesia,IDN,Asia,12/2/2022,1,0,0,0,0,0,0,0.004,0,0,0,0
Ireland,IRL,Europe,12/2/2022,220,0,0,0,0.43,0,0,43.798,0.086,0,0,0
Israel,ISR,Asia,12/2/2022,262,0,0,0,0,0,0,27.728,0,0,0,0
Italy,ITA,Europe,12/2/2022,921,0,1,0,0.43,0,0.017,15.6,0.007,0,0,0
Jamaica,JAM,North America,12/2/2022,18,0,0,0,0,0,0,6.366,0,0,0,0
Latvia,LVA,Europe,12/2/2022,6,0,0,0,0,0,0,3.242,0,0,0,0
Liberia,LBR,,12/2/2022,3,0,0,0,0,0,0,0.566,0,0,0,0
Lithuania,LTU,,12/2/2022,5,0,0,0,0,0,0,1.818,0,0,0,0
Luxembourg,LUX,,12/2/2022,57,0,0,0,0,0,0,88.017,0,0,0,0
Malta,MLT,,12/2/2022,33,0,0,0,0,0,0,61.88,0,0,0,0
Martinique,MTQ,,12/2/2022,1,0,0,0,0,0,0,2.721,0,0,0,0
Mexico,MEX,,12/2/2022,3362,4,0,0,10,0,0,26.368,0.078,0,0.031,0
Moldova,MDA,,12/2/2022,2,0,0,0,0,0,0,0.611,0,0,0,0
Monaco,MCO,,12/2/2022,3,0,0,0,0,0,0,82.212,0,0,0,0
Montenegro,MNE,,12/2/2022,2,0,0,0,0,0,0,3.189,0,0,0,0
Mozambique,MOZ,,12/2/2022,1,1,0,0,0,0,0,0.03,0,0,0.03,0
Netherlands,NLD,,12/2/2022,1251,0,0,0,0.43,0,0,71.225,0.024,0,0,0
New Zealand,NZL,,12/2/2022,39,0,3,0,0.43,0,0.579,7.521,0.083,0,0,0
Nigeria,NGA,,12/2/2022,624,7,0,0,0,0,0,2.855,0,0,0.032,0
Norway,NOR,,12/2/2022,93,0,0,0,0,0,0,17.113,0,0,0,0
Panama,PAN,,12/2/2022,56,0,8,0,1.14,0,1.815,12.702,0.259,0,0,0
Paraguay,PRY,,12/2/2022,24,0,0,0,1,0,0,3.539,0.147,0,0,0
Peru,PER,,12/2/2022,3508,0,42,0,9.14,0,1.233,103.026,0.268,0,0,0
Poland,POL,,12/2/2022,214,0,0,0,0.14,0,0,5.369,0.004,0,0,0
Portugal,PRT,,12/2/2022,948,0,0,0,0,0,0,92.3,0,0,0,0
Puerto Rico,PRI,,12/2/2022,205,0,0,0,0,0,0,63.03,0,0,0,0
Romania,ROU,,12/2/2022,45,0,0,0,0,0,0,2.289,0,0,0,0
Russia,RUS,,12/2/2022,2,0,0,0,0,0,0,0.014,0,0,0,0
Saint Martin (French part),MAF,,12/2/2022,1,0,0,0,0,0,0,31.431,0,0,0,0
San Marino,SMR,,12/2/2022,1,0,0,0,0,0,0,29.682,0,0,0,0
Serbia,SRB,,12/2/2022,40,0,0,0,0,0,0,5.821,0,0,0,0
Slovakia,SVK,,12/2/2022,14,0,0,0,0,0,0,2.481,0,0,0,0
Slovenia,SVN,,12/2/2022,47,0,0,0,0,0,0,22.171,0,0,0,0
South Africa,ZAF,,12/2/2022,5,0,0,0,0,0,0,0.083,0,0,0,0
Spain,ESP,,12/2/2022,7408,3,0,0,0.43,0,0,155.766,0.009,0,0.063,0
Sri Lanka,LKA,,12/2/2022,2,0,0,0,0,0,0,0.092,0,0,0,0
Sweden,SWE,,12/2/2022,229,0,0,0,1.29,0,0,21.708,0.122,0,0,0
Switzerland,CHE,,12/2/2022,550,0,0,0,0.57,0,0,62.926,0.065,0,0,0
Thailand,THA,,12/2/2022,12,0,0,0,0,0,0,0.167,0,0,0,0
Turkey,TUR,,12/2/2022,12,0,0,0,0,0,0,0.141,0,0,0,0
Ukraine,UKR,,12/2/2022,5,0,0,0,0,0,0,0.126,0,0,0,0
United Kingdom,GBR,,12/2/2022,3725,0,0,0,0.71,0,0,55.178,0.011,0,0,0
United States,USA,,12/2/2022,29169,15,42,0,24,0.14,0.124,86.225,0.071,0,0.044,0
Uruguay,URY,,12/2/2022,14,0,0,0,0,0,0,4.09,0,0,0,0
Venezuela,VEN,,12/2/2022,10,0,0,0,0,0,0,0.353,0,0,0,0
World,OWID_WRL,,12/2/2022,81769,60,130,1,90.86,0.57,0.016,10.253,0.011,0,0.008,0
Andorra,AND,Europe,12/1/2022,4,0,0,0,0,0,0,50.098,0,0,0,0
Argentina,ARG,South America,12/1/2022,944,1,0,0,7.14,0.14,0,20.743,0.157,0,0.022,0.003
Aruba,ABW,North America,12/1/2022,3,0,0,0,0,0,0,28.18,0,0,0,0
Austria,AUT,Europe,12/1/2022,326,0,0,0,0,0,0,36.467,0,0,0,0
Bahamas,BHS,North America,12/1/2022,2,0,0,0,0,0,0,4.878,0,0,0,0
Barbados,BRB,North America,12/1/2022,1,0,0,0,0,0,0,3.551,0,0,0,0
Belgium,BEL,Europe,12/1/2022,789,1,0,0,0,0,0,67.691,0,0,0.086,0
Benin,BEN,Africa,12/1/2022,3,0,0,0,0,0,0,0.225,0,0,0,0
Bermuda,BMU,North America,12/1/2022,1,0,0,0,0,0,0,15.575,0,0,0,0
Bolivia,BOL,South America,12/1/2022,258,0,1,0,0.86,0,0.082,21.106,0.07,0,0,0
Bosnia and Herzegovina,BIH,Europe,12/1/2022,9,0,0,0,0,0,0,2.783,0,0,0,0
Brazil,BRA,South America,12/1/2022,10015,13,8,0,15.71,0.14,0.037,46.514,0.073,0,0.06,0.001
Bulgaria,BGR,Europe,12/1/2022,6,0,0,0,0,0,0,0.885,0,0,0,0
Cameroon,CMR,Africa,12/1/2022,16,2,0,0,0,0,0,0.573,0,0,0.072,0
Canada,CAN,North America,12/1/2022,1456,0,0,0,1,0,0,37.863,0.026,0,0,0
Central African Republic,CAF,Africa,12/1/2022,12,0,0,0,0,0,0,2.151,0,0,0,0
Chile,CHL,South America,12/1/2022,1311,2,0,0,4.71,0.14,0,66.875,0.24,0,0.102,0.007
Colombia,COL,South America,12/1/2022,3852,0,0,0,7,0,0,74.257,0.135,0,0,0
Congo,COG,Africa,12/1/2022,5,0,0,0,0,0,0,0.837,0,0,0,0
Costa Rica,CRI,North America,12/1/2022,24,0,0,0,0,0,0,4.632,0,0,0,0
Croatia,HRV,Europe,12/1/2022,29,0,0,0,0,0,0,7.195,0,0,0,0
Cuba,CUB,North America,12/1/2022,8,1,0,0,0,0,0,0.714,0,0,0.089,0
Curacao,CUW,North America,12/1/2022,3,0,0,0,0,0,0,15.693,0,0,0,0
Cyprus,CYP,Europe,12/1/2022,5,0,0,0,0,0,0,5.58,0,0,0,0
Czechia,CZE,Europe,12/1/2022,70,1,0,0,0,0,0,6.67,0,0,0.095,0
Democratic Republic of Congo,COD,Africa,12/1/2022,206,0,0,0,0,0,0,2.081,0,0,0,0
Denmark,DNK,Europe,12/1/2022,191,0,0,0,0,0,0,32.471,0,0,0,0
Dominican Republic,DOM,North America,12/1/2022,52,0,0,0,0,0,0,4.631,0,0,0,0
Ecuador,ECU,South America,12/1/2022,346,2,0,0,0,0,0,19.221,0,0,0.111,0
El Salvador,SLV,North America,12/1/2022,21,0,0,0,0,0,0,3.314,0,0,0,0
Estonia,EST,Europe,12/1/2022,11,0,0,0,0,0,0,8.295,0,0,0,0
Finland,FIN,Europe,12/1/2022,42,0,0,0,0,0,0,7.58,0,0,0,0
France,FRA,Europe,12/1/2022,4107,0,0,0,0.43,0,0,60.564,0.006,0,0,0
Georgia,GEO,Asia,12/1/2022,2,0,0,0,0,0,0,0.534,0,0,0,0
Germany,DEU,Europe,12/1/2022,3671,0,0,0,0,0,0,44.033,0,0,0,0
Ghana,GHA,Africa,12/1/2022,107,4,0,0,0,0,0,3.196,0,0,0.119,0
Gibraltar,GIB,Europe,12/1/2022,6,0,0,0,0,0,0,183.615,0,0,0,0
Greece,GRC,Europe,12/1/2022,85,0,0,0,0,0,0,8.185,0,0,0,0
Greenland,GRL,North America,12/1/2022,2,0,0,0,0,0,0,35.402,0,0,0,0
Guadeloupe,GLP,Europe,12/1/2022,1,0,0,0,0,0,0,2.527,0,0,0,0
Guatemala,GTM,North America,12/1/2022,192,0,20,0,2.86,0,1.121,10.76,0.16,0,0,0
Guyana,GUY,South America,12/1/2022,2,0,0,0,0,0,0,2.473,0,0,0,0
Honduras,HND,North America,12/1/2022,11,0,0,0,0,0,0,1.054,0,0,0,0
Hungary,HUN,Europe,12/1/2022,80,0,0,0,0,0,0,8.026,0,0,0,0
Iceland,ISL,Europe,12/1/2022,16,0,0,0,0,0,0,42.907,0,0,0,0
India,IND,Asia,12/1/2022,17,1,0,0,0,0,0,0.012,0,0,0.001,0
Indonesia,IDN,Asia,12/1/2022,1,0,0,0,0,0,0,0.004,0,0,0,0
Ireland,IRL,Europe,12/1/2022,220,0,0,0,0.43,0,0,43.798,0.086,0,0,0
Israel,ISR,Asia,12/1/2022,262,0,0,0,0,0,0,27.728,0,0,0,0
Italy,ITA,Europe,12/1/2022,920,0,0,0,0.43,0,0,15.583,0.007,0,0,0
Jamaica,JAM,North America,12/1/2022,18,0,0,0,0.29,0,0,6.366,0.103,0,0,0
Latvia,LVA,Europe,12/1/2022,6,0,0,0,0,0,0,3.242,0,0,0,0
Liberia,LBR,Africa,12/1/2022,3,0,0,0,0,0,0,0.566,0,0,0,0
Lithuania,LTU,Europe,12/1/2022,5,0,0,0,0,0,0,1.818,0,0,0,0
Luxembourg,LUX,Europe,12/1/2022,57,0,0,0,0,0,0,88.017,0,0,0,0
Malta,MLT,Europe,12/1/2022,33,0,0,0,0,0,0,61.88,0,0,0,0
Martinique,MTQ,Europe,12/1/2022,1,0,0,0,0,0,0,2.721,0,0,0,0
Mexico,MEX,North America,12/1/2022,3362,4,1,0,10,0,0.008,26.368,0.078,0,0.031,0
Moldova,MDA,Europe,12/1/2022,2,0,0,0,0,0,0,0.611,0,0,0,0
Monaco,MCO,Europe,12/1/2022,3,0,0,0,0,0,0,82.212,0,0,0,0
Montenegro,MNE,Europe,12/1/2022,2,0,0,0,0,0,0,3.189,0,0,0,0
Mozambique,MOZ,Africa,12/1/2022,1,1,0,0,0,0,0,0.03,0,0,0.03,0
Netherlands,NLD,Europe,12/1/2022,1251,0,0,0,0.43,0,0,71.225,0.024,0,0,0
New Zealand,NZL,Oceania,12/1/2022,36,0,0,0,0,0,0,6.943,0,0,0,0
Nigeria,NGA,Africa,12/1/2022,624,7,0,0,0,0,0,2.855,0,0,0.032,0
Norway,NOR,Europe,12/1/2022,93,0,0,0,0,0,0,17.113,0,0,0,0
Panama,PAN,North America,12/1/2022,48,0,0,0,0,0,0,10.888,0,0,0,0
Paraguay,PRY,South America,12/1/2022,24,0,0,0,1,0,0,3.539,0.147,0,0,0
Peru,PER,South America,12/1/2022,3466,0,0,0,3.14,0,0,101.793,0.092,0,0,0
Poland,POL,Europe,12/1/2022,214,0,0,0,0.14,0,0,5.369,0.004,0,0,0
Portugal,PRT,Europe,12/1/2022,948,0,0,0,0,0,0,92.3,0,0,0,0
Puerto Rico,PRI,North America,12/1/2022,205,0,0,0,0,0,0,63.03,0,0,0,0
Romania,ROU,Europe,12/1/2022,45,0,0,0,0,0,0,2.289,0,0,0,0
Russia,RUS,Europe,12/1/2022,2,0,0,0,0,0,0,0.014,0,0,0,0
Saint Martin (French part),MAF,Europe,12/1/2022,1,0,0,0,0,0,0,31.431,0,0,0,0
San Marino,SMR,Europe,12/1/2022,1,0,0,0,0,0,0,29.682,0,0,0,0
Serbia,SRB,Europe,12/1/2022,40,0,0,0,0,0,0,5.821,0,0,0,0
Slovakia,SVK,Europe,12/1/2022,14,0,0,0,0,0,0,2.481,0,0,0,0
Slovenia,SVN,Europe,12/1/2022,47,0,0,0,0,0,0,22.171,0,0,0,0
South Africa,ZAF,Africa,12/1/2022,5,0,0,0,0,0,0,0.083,0,0,0,0
Spain,ESP,Europe,12/1/2022,7408,3,0,0,0.43,0,0,155.766,0.009,0,0.063,0
Sri Lanka,LKA,Asia,12/1/2022,2,0,0,0,0,0,0,0.092,0,0,0,0
Sweden,SWE,Europe,12/1/2022,229,0,0,0,1.29,0,0,21.708,0.122,0,0,0
Switzerland,CHE,Europe,12/1/2022,550,0,0,0,0.57,0,0,62.926,0.065,0,0,0
Thailand,THA,Asia,12/1/2022,12,0,0,0,0,0,0,0.167,0,0,0,0
Turkey,TUR,Asia,12/1/2022,12,0,0,0,0,0,0,0.141,0,0,0,0
Ukraine,UKR,Europe,12/1/2022,5,0,0,0,0,0,0,0.126,0,0,0,0
United Kingdom,GBR,Europe,12/1/2022,3725,0,0,0,0.71,0,0,55.178,0.011,0,0,0
United States,USA,North America,12/1/2022,29127,15,0,0,18,0.14,0,86.101,0.053,0,0.044,0
Uruguay,URY,South America,12/1/2022,14,0,0,0,0,0,0,4.09,0,0,0,0
Venezuela,VEN,South America,12/1/2022,10,0,0,0,0,0,0,0.353,0,0,0,0
World,OWID_WRL,,12/1/2022,81639,59,30,0,77.71,0.57,0.004,10.237,0.01,0,0.007,0
Andorra,AND,Europe,11/30/2022,4,0,0,0,0,0,0,50.098,0,0,0,0
Argentina,ARG,South America,11/30/2022,944,1,49,0,7.14,0.14,1.077,20.743,0.157,0,0.022,0.003
Aruba,ABW,North America,11/30/2022,3,0,0,0,0,0,0,28.18,0,0,0,0
Austria,AUT,Europe,11/30/2022,326,0,0,0,0,0,0,36.467,0,0,0,0
Bahamas,BHS,North America,11/30/2022,2,0,0,0,0,0,0,4.878,0,0,0,0
Barbados,BRB,North America,11/30/2022,1,0,0,0,0,0,0,3.551,0,0,0,0
Belgium,BEL,Europe,11/30/2022,789,1,0,0,0,0,0,67.691,0,0,0.086,0
Benin,BEN,Africa,11/30/2022,3,0,0,0,0,0,0,0.225,0,0,0,0
Bermuda,BMU,North America,11/30/2022,1,0,0,0,0,0,0,15.575,0,0,0,0
Bolivia,BOL,South America,11/30/2022,257,0,4,0,0.71,0,0.327,21.024,0.058,0,0,0
Bosnia and Herzegovina,BIH,Europe,11/30/2022,9,0,0,0,0,0,0,2.783,0,0,0,0
Brazil,BRA,South America,11/30/2022,10007,13,9,0,18.71,0.14,0.042,46.476,0.087,0,0.06,0.001
Bulgaria,BGR,Europe,11/30/2022,6,0,0,0,0,0,0,0.885,0,0,0,0
Cameroon,CMR,Africa,11/30/2022,16,2,0,0,0,0,0,0.573,0,0,0.072,0
Canada,CAN,North America,11/30/2022,1456,0,0,0,1,0,0,37.863,0.026,0,0,0
Central African Republic,CAF,Africa,11/30/2022,12,0,0,0,0,0,0,2.151,0,0,0,0
Chile,CHL,South America,11/30/2022,1311,2,0,0,7.43,0.14,0,66.875,0.379,0,0.102,0.007
Colombia,COL,South America,11/30/2022,3852,0,49,0,7,0,0.945,74.257,0.135,0,0,0
Congo,COG,Africa,11/30/2022,5,0,0,0,0,0,0,0.837,0,0,0,0
Costa Rica,CRI,North America,11/30/2022,24,0,0,0,0.14,0,0,4.632,0.027,0,0,0
Croatia,HRV,Europe,11/30/2022,29,0,0,0,0,0,0,7.195,0,0,0,0
Cuba,CUB,North America,11/30/2022,8,1,0,0,0,0,0,0.714,0,0,0.089,0
Curacao,CUW,North America,11/30/2022,3,0,0,0,0,0,0,15.693,0,0,0,0
Cyprus,CYP,Europe,11/30/2022,5,0,0,0,0,0,0,5.58,0,0,0,0
Czechia,CZE,Europe,11/30/2022,70,1,0,0,0,0,0,6.67,0,0,0.095,0
Democratic Republic of Congo,COD,Africa,11/30/2022,206,0,0,0,0,0,0,2.081,0,0,0,0
Denmark,DNK,Europe,11/30/2022,191,0,0,0,0,0,0,32.471,0,0,0,0
Dominican Republic,DOM,North America,11/30/2022,52,0,0,0,0,0,0,4.631,0,0,0,0
Ecuador,ECU,South America,11/30/2022,346,2,0,0,0,0,0,19.221,0,0,0.111,0
El Salvador,SLV,North America,11/30/2022,21,0,0,0,0,0,0,3.314,0,0,0,0
Estonia,EST,Europe,11/30/2022,11,0,0,0,0,0,0,8.295,0,0,0,0
Finland,FIN,Europe,11/30/2022,42,0,0,0,0,0,0,7.58,0,0,0,0
France,FRA,Europe,11/30/2022,4107,0,0,0,0.43,0,0,60.564,0.006,0,0,0
Georgia,GEO,Asia,11/30/2022,2,0,0,0,0,0,0,0.534,0,0,0,0
Germany,DEU,Europe,11/30/2022,3671,0,0,0,0,0,0,44.033,0,0,0,0
Ghana,GHA,Africa,11/30/2022,107,4,0,0,0,0,0,3.196,0,0,0.119,0
Gibraltar,GIB,Europe,11/30/2022,6,0,0,0,0,0,0,183.615,0,0,0,0
Greece,GRC,Europe,11/30/2022,85,0,0,0,0,0,0,8.185,0,0,0,0
Greenland,GRL,North America,11/30/2022,2,0,0,0,0,0,0,35.402,0,0,0,0
Guadeloupe,GLP,Europe,11/30/2022,1,0,0,0,0,0,0,2.527,0,0,0,0
Guatemala,GTM,North America,11/30/2022,172,0,0,0,4.43,0,0,9.639,0.248,0,0,0
Guyana,GUY,South America,11/30/2022,2,0,0,0,0,0,0,2.473,0,0,0,0
Honduras,HND,North America,11/30/2022,11,0,0,0,0,0,0,1.054,0,0,0,0
